date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:23	205661/205661	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_delight__i0qklyn8nii6_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_delight__i0qklyn8nii6_large.jpg	(from https://www.apple.com/iphone/)
21:58:23	73164/73164	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_action_button__nje2lljsf3u6_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_action_button__nje2lljsf3u6_large.jpg	(from https://www.apple.com/iphone/)
21:58:24	47369/47369	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_smart__bskqw1ojheb6_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_smart__bskqw1ojheb6_large.jpg	(from https://www.apple.com/iphone/)
21:58:25	69565/69565	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_visual_intelligence__db4wb0gyrxqq_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_visual_intelligence__db4wb0gyrxqq_large.jpg	(from https://www.apple.com/iphone/)
21:58:27	114864/114864	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_clean_up__bfik5r4vj02q_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_clean_up__bfik5r4vj02q_large.jpg	(from https://www.apple.com/iphone/)
21:58:27	64256/64256	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_siri__cxorhcnigqc2_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_siri__cxorhcnigqc2_large.jpg	(from https://www.apple.com/iphone/)
21:58:28	96086/96086	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_iphone__dj0juux57swi_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/ios_ai/modal_iphone__dj0juux57swi_large.jpg	(from https://www.apple.com/iphone/)
21:58:29	7343/7343	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider/privacy__dd7zepyil6gm_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider/privacy__dd7zepyil6gm_large.jpg	(from https://www.apple.com/iphone/)
21:58:30	71374/71374	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_privacy__bfcet6osbycy_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_privacy__bfcet6osbycy_large.jpg	(from https://www.apple.com/iphone/)
21:58:31	38023/38023	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_sign_in__eoc5cuolrgq6_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_sign_in__eoc5cuolrgq6_large.jpg	(from https://www.apple.com/iphone/)
